Date	Price	Open	High	Low	Change %
17-May-14	441.97	443	443	435.37	-0.07
16-May-14	442.28	442	443	442	0.07
15-May-14	441.99	440	442	438	-0.45
14-May-14	444	437.25	444	432	1.54
13-May-14	437.25	439	439	433.68	-0.63
12-May-14	440	434.55	441	433	1.85
11-May-14	432	449.63	449.63	430.55	-4.23
10-May-14	451.1	452	452.25	449.1	1.14
9-May-14	446	440	452.01	439.49	0.72
8-May-14	442.8	440	447	439.51	1.1
7-May-14	438	430	448.72	425.89	1.86
6-May-14	430	426.55	431.5	419.77	0.7
5-May-14	427.01	436.41	439.88	426.5	-0.9
4-May-14	430.87	439.53	440.63	430.87	-2.2
3-May-14	440.54	452	452	432.61	-2.86
2-May-14	453.5	459.01	459.63	447	-1.2
1-May-14	459	450.81	463	450.78	2.39
30-Apr-14	448.27	446	450	440.5	3.29
29-Apr-14	434	438.72	450	431.54	-3.13
28-Apr-14	448	434	448	433	1.48
27-Apr-14	441.45	460	460.5	441.45	-3.82
26-Apr-14	459	467.35	470.49	453.86	-0.22
25-Apr-14	460	493.08	494.37	446.22	-7.54
24-Apr-14	497.5	486	497.5	480	1.49
23-Apr-14	490.21	494.86	494.86	480	0.45
22-Apr-14	488	499.5	501	488	-1.81
21-Apr-14	497	509	510	495.77	-3.01
20-Apr-14	512.45	510	512.45	510	1.48
19-Apr-14	505	488.17	510	484.71	2.95
18-Apr-14	490.54	499.39	504.37	483.57	-2.03
17-Apr-14	500.71	519.55	522.25	491	-4.12
16-Apr-14	522.25	510	522.79	499	1.41
15-Apr-14	515	453.36	515	453.36	12.2
14-Apr-14	459	403.15	464	403.15	13.55
13-Apr-14	404.22	415	415	404.22	-2.6
12-Apr-14	415	417.75	430	412	-0.3
11-Apr-14	416.26	355	427	325	12.5
10-Apr-14	370	440.24	440.24	370	-16.38
9-Apr-14	442.5	454.97	454.97	440	-1.39
8-Apr-14	448.75	454.5	458.25	448.75	-1.2
7-Apr-14	454.2	460.21	463.62	445	0.11
6-Apr-14	453.69	463.3	463.3	453.69	-1.54
5-Apr-14	460.8	453	460.8	445.19	2.4
4-Apr-14	449.99	441.5	458.13	434.17	0.27
3-Apr-14	448.78	440.61	462.05	422	1.23
2-Apr-14	443.33	479.18	490.51	435.79	-8.18
1-Apr-14	482.83	460.32	486	451.44	6.82
31-Mar-14	452	478.6	485	443.13	-2.61
30-Mar-14	464.1	493.01	493.01	440.35	-5.66
29-Mar-14	491.92	506.17	507	490.98	-1.11
28-Mar-14	497.44	525	525	490	-0.22
27-Mar-14	498.53	582.4	589.33	498.53	-16.21
26-Mar-14	595	580	595	570	2.23
25-Mar-14	582.01	586.58	586.66	579.1	-1.35
24-Mar-14	590	560.38	590	552	4.2
23-Mar-14	566.2	570.3	570.3	566.2	1.11
22-Mar-14	560	560	562.86	550	-1.55
21-Mar-14	568.8	581	605.42	568.8	-2.52
20-Mar-14	583.48	610	639.21	583.48	-4.5
19-Mar-14	611	622.9	622.92	611	-1.19
18-Mar-14	618.37	623.08	623.89	610.89	-0.95
17-Mar-14	624.33	635	635.7	624	-1.68
16-Mar-14	635.01	640.1	640.1	635.01	-1.03
15-Mar-14	641.64	636.89	641.64	636.89	1.85
14-Mar-14	630	632.93	638.97	630	-1.87
13-Mar-14	641.99	633.51	645.14	633.51	-1.23
12-Mar-14	650	615	650	615	5.69
11-Mar-14	615	615	615	613.5	0
